id,uptodate,state,race_id_last_race,date_last_race,name,country,age,color,owner,sire,dam,dam_sire,sex,Total_races,Wins,Percentage_wins,placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
72797,2025-08-25,Active,183496,2025-08-26,Poets Dawn,GB,10,chestnut,Mr Timothy O'Gram & Partner,Poet's Voice (UK),Dudley Queen (IRE),Excellent Art (UK),gelding,113.0,11.0,9.73%,45.0,39.82%,4.0,0.0,0.00%,1.0,25.00%,109.0,11.0,10.09%,44.0,40.37%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
81052,2025-08-25,Active,183488,2025-08-26,Wilderness,GB,10,bay,S Mullins Racing Club,Cityscape (UK),Moonlight Applause (UK),Royal Applause (UK),mare,60.0,6.0,10.00%,17.0,28.33%,8.0,0.0,0.00%,4.0,50.00%,33.0,5.0,15.15%,9.0,27.27%,4.0,0.0,0.00%,1.0,25.00%,15.0,1.0,6.67%,3.0,20.00%
81824,2025-08-25,Active,183499,2025-08-26,Marks Choice,IRE,9,bay,Cragg Wood Racing,Bungle Inthejungle (UK),Ramamara (IRE),Trans Island (UK),gelding,66.0,10.0,15.15%,21.0,31.82%,7.0,0.0,0.00%,3.0,42.86%,59.0,10.0,16.95%,18.0,30.51%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
82449,2025-08-25,Active,183499,2025-08-26,Count Dorsay,IRE,9,bay,Ambrose Turnbull & John Cruces,Dandy Man (IRE),Deira (USA),Green Desert (USA),gelding,100.0,11.0,11.00%,26.0,26.00%,5.0,0.0,0.00%,0.0,0%,95.0,11.0,11.58%,26.0,27.37%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
84148,2025-08-25,Active,183505,2025-08-26,Trais Fluors,GB,11,bay,Miss L A Perratt,Dansili (UK),Trois Lunes (FR),Manduro (GER),gelding,68.0,6.0,8.82%,14.0,20.59%,19.0,4.0,21.05%,4.0,21.05%,49.0,2.0,4.08%,10.0,20.41%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
85734,2025-08-25,Active,183515,2025-08-26,Walking On Glass,IRE,10,brown,Fivers & Tenners Syndicate,Big Bad Bob (IRE),Cocktail Hour (IRE),Notnowcato (UK),gelding,64.0,8.0,12.50%,16.0,25.00%,1.0,0.0,0.00%,0.0,0%,27.0,4.0,14.81%,7.0,25.93%,9.0,1.0,11.11%,1.0,11.11%,27.0,3.0,11.11%,8.0,29.63%
86513,2025-08-25,Active,183488,2025-08-26,Atalanta Breeze,GB,9,bay,Miss S Sharp,Champs Elysees (UK),Craighall (UK),Dubawi (IRE),mare,28.0,4.0,14.29%,8.0,28.57%,14.0,1.0,7.14%,3.0,21.43%,14.0,3.0,21.43%,5.0,35.71%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
86895,2025-08-25,Active,183515,2025-08-26,Takarengo,IRE,9,bay,James M Barcoe,Battle Of Marengo (IRE),Takaliyda (IRE),Azamour (IRE),gelding,77.0,5.0,6.49%,27.0,35.06%,1.0,0.0,0.00%,0.0,0%,39.0,4.0,10.26%,10.0,25.64%,8.0,0.0,0.00%,5.0,62.50%,29.0,1.0,3.45%,12.0,41.38%
88006,2025-08-25,Active,183509,2025-08-26,Hell Left Loose,GB,9,bay,Vincent Carroll,Hellvelyn (UK),Yarrita (UK),Tragic Role (USA),gelding,42.0,4.0,9.52%,5.0,11.90%,10.0,1.0,10.00%,1.0,10.00%,31.0,3.0,9.68%,4.0,12.90%,0.0,0.0,0%,0.0,0%,1.0,0.0,0.00%,0.0,0%
90367,2025-08-25,Active,183510,2025-08-26,Mogwli,IRE,8,g,W Mccreery,Bungle Inthejungle (UK),Susiescot (IRE),Verglas (IRE),gelding,86.0,7.0,8.14%,20.0,23.26%,3.0,0.0,0.00%,1.0,33.33%,83.0,7.0,8.43%,19.0,22.89%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
