id,race_id,horse_number,Draw,Horse_ID,Country,Name,Age,weight_uk,weight,gears,Horse_rate,jockey_ID,jockey,trainer_ID,trainer,fav,odds,odds_decimal,Timeform_comments
300034,183488,1,8,113372,USA,Moel Arthur,7,11-2,70.75,t,70,6284.0,Mr E Cagney,235.0,B R Johnson,,,,"Ran to form when beaten 2l off a mark of 70 over 1m6f at Sandown last time. This is a significant jockey booking. Suited by 2m, with the pace to be effective at 14f, and can win off this mark."
300035,183488,2,7,132833,FR,Sun Dancer Girl,4,11-2,70.75,None,70,6553.0,Miss Remie Morgan,1184.0,F O'Brien,,,,Disappointing flat return when well beaten in a handicap at Kempton last time. Generally consistent at 2m on the all-weather for her old yard and could bounce back.
300036,183488,3,4,146773,IRE,Senor Cortez,4,11-0,69.85,None,68,6794.0,Mr Henry Callan,4189.0,R Eddery,,,,"Won readily, improving on his turf debut when landing a handicap by 9l off 60 over 1m6f at Yarmouth last time. Effective over 14f on the all-weather. Progressive and could improve further for 2m."
300037,183488,4,5,104558,GB,Eagle One,7,10-9,67.55,tp,63,5310.0,Miss Amber Jackson-Fennell,49.0,N A Twiston-Davies,,,,"Ran to form when fourth, beaten 6 1/4l, in a handicap at Kempton last time. Returning from a long layoff. Effective from 11f to 16f on the all-weather; has had issues."
300038,183488,5,1,86513,GB,Atalanta Breeze,9,10-6,66.2,v,60,6244.0,Miss Alice Tregoning,896.0,M P Tregoning,,,,Needed the run when beaten 7l in a handicap over 1m6f at Ffos Las last time. Generally consistent over 12-14f and acts on the all-weather.
300039,183488,6,6,94028,GB,Throne Hall,8,10-4,65.3,b,58,4462.0,Miss Brodie Hampson,4143.0,A Watson,,,,"Went clear but made too much use of, beaten 2l off 58 over 12f at Catterick last time. Suited by 14f+, acts on any surface. Capable off this mark but inconsistent in form."
300040,183488,7,2,136784,IRE,Tango Sunset,4,10-1,63.95,None,55,6995.0,Mr Frederick Tett,303.0,R A Teal,,,,"Ran to form when dropping back in trip on her turf return, finishing fourth beaten 5l in a handicap over 12f at Epsom last time. Stays 2m and acts on the all-weather, though she is inconsistent."
300041,183488,8,3,81052,GB,Wilderness,10,10-0,63.5,b,54,7009.0,Miss Daisy Warden,206.0,J W Mullins,1st,22/1,23.0,"Completely blew the start and had no chance, comfortably held in a handicap over 1m6f at Yarmouth last time. A veteran who is effective from 12f to 16f but not the force of old, though she has dropped a long way in the weights."
300042,183489,1,10,156028,GB,Actually Ann,2,9-2,58.05,None,-,3023.0,Rob Hornby,224.0,J G Portman,,,,"29 Apr; £16,000 Mohaather filly; half-sister to Spirit Of Applause, very useful at 5f; wide draw; probably need the experience"
300043,183489,2,1,154458,GB,Angels Share,2,9-2,58.05,None,63,4705.0,Marco Ghiani,493.0,W J Knight,,,,No match for smart winner but improved again when second beaten 7 1/2l in a novice at Yarmouth latest; may yet progress further
300044,183489,3,8,156032,GB,Betty Lemon,2,9-2,58.05,None,-,4468.0,D Egan,29.0,H Morrison,,,,"27 Mar; Land Force filly; half-sister to Landshark, very smart at 6f; wide draw; probably come on for the run"
300045,183489,4,7,155268,IRE,Boss Lady,2,9-2,58.05,None,-,5547.0,S D Bowen,3537.0,Hilal Kobeissi,,,,"Similar form to debut when second beaten 2l in a maiden over 6f at Chepstow latest; effective 6f, probably get 7f, acts on good; likely a little to come"
300046,183489,5,4,155281,GB,Laser Luck,2,9-2,58.05,None,-,3005.0,Oisin Murphy,4096.0,Brian Toomey,,,,"Green early, solid debut beaten 2l in a maiden over 6f at Windsor on debut; very stoutly bred on dam's side; should improve as goes up distances"
300047,183489,6,9,156038,IRE,Red Eve,2,9-2,58.05,None,-,3574.0,Tom Marquand,223.0,R Hannon,,,,"15 Feb; 13,000gns Earthlight filly; half-sister to Bernadine, useful at 8f; wide draw; yard do well with youngsters"
300048,183489,7,6,156041,GB,Snow Day,2,9-2,58.05,None,-,6490.0,Jack Doughty,135.0,A W Carroll,,,,"9 Apr; 1,000gns Aclaim filly; half-sister to Nostalgie, very useful at 7f; dam fair at 9f; very cheap purchase"
300049,183489,8,5,153887,GB,Sunshine And Roses,2,9-2,58.05,None,59,1414.0,Charles Bishop,4209.0,J Channon,,,,Ran to same level as first two starts beaten 5l in a maiden over 6f at Southwell last time; trainer in form; effective 6f on a sound surface; doesn't seem to be progressing
300050,183489,9,2,155292,IRE,Therefore,2,9-2,58.05,None,-,7004.0,H Crouch,3791.0,Jack Jones,1st,11/1,12.0,Just a fair effort beaten 5l in a maiden over 6f at Windsor on debut; bred to be suited by 7f; should improve
300051,183489,10,3,156043,GB,Virginia Moon,2,9-2,58.05,None,-,3755.0,George Wood,4428.0,Lemos Souza,,,,"21 Feb; 3,000gns Territories filly; full-sister to Virtue Patience, fair at 8f; likely to need the experience"
300052,183490,1,5,156029,GB,Aunt Em,2,9-2,58.05,None,-,3755.0,George Wood,361.0,J R Fanshawe,,,,"11 Feb; 14,000gns Dream Ahead filly; half-sister to Northernpowerhouse, very useful at 6f; dam very smart at 6f at 2yo; trainer in form"
300053,183490,2,4,156030,GB,Barbuda Bay,2,9-2,58.05,None,-,4174.0,Rossa Ryan,303.0,R A Teal,,,,"15 Feb; 7,000gns Starman filly; half-sister to Brideshead, useful at 11f; dam very useful at 10f; probably need the experience"
300054,183490,3,8,155692,GB,Galileo Charm,2,9-2,58.05,None,-,193.0,R Havlin,24.0,M Botti,,,,Good attitude and promising debut when runner-up beaten a length in a maiden at Kempton; wide draw; bred to be suited by a mile; should improve
300055,183490,4,1,155785,GB,Lady Milton,2,9-2,58.05,None,-,3023.0,Rob Hornby,224.0,J G Portman,,,,"Didn't show much when well beaten in a novice over 6f at Newbury only start; sire sprinter, dam miler; quite small but ought to do better"
300056,183490,5,3,155144,GB,Lyra Lea,2,9-2,58.05,None,68,3797.0,Lewis Edmunds,162.0,B R Millman,,,,"Every chance but gave impression ground a bit too quick when second beaten 6l in a novice over 8f here latest; effective 7f, may prefer easy surface"
300057,183490,6,7,156037,IRE,Make Her Believe,2,9-2,58.05,None,-,1067.0,K T O'Neill,3582.0,Alice Haynes,,,,"14 Feb; 15,000 euros Make Believe filly; half-sister to Crema Inglesa, very useful at 12f; dam smart at 12f; yard can get 2yo's ready"
300058,183490,7,6,155701,GB,Onwardupward,2,9-2,58.05,None,-,5303.0,Frederick Larson,4428.0,Lemos Souza,1st,11/1,12.0,Raced too freely and didn't see it out beaten 5 1/4l in a maiden at Kempton on debut; big filly; can rate more highly though may want 6f
300059,183490,8,2,153886,GB,Sovereign Bright,2,9-2,58.05,None,72,221.0,J Mitchell,4122.0,C Johnston,,,,"Tired late on testing ground and head came up again when beaten 5l in a nursery at Goodwood last time; effective 6/7f, acts on good to firm and all-weather; struggling to get home"
300060,183491,1,11,141143,GB,Maritime Mist,5,9-9,61.2,None,50,6490.0,Jack Doughty,329.0,P R Chamings,,,,Continued in poor form when well beaten in a maiden over 11f at Southwell last time; yet to show anything in bumpers or flat maidens.
300061,183491,2,10,134042,GER,Mond,7,9-9,61.2,h,47,3023.0,Rob Hornby,4152.0,C Wallis,,11/1,12.0,"Outpaced and ran poorly when beaten 9l in a classified race over 10f here last time; generally out of form. Effective over middle distances and well treated on old French form, but struggling of late; step up to 12f worth trying."
300062,183491,3,6,110823,GB,Nasim,6,9-9,61.2,None,50,3287.0,K Shoemark,4268.0,M Pattinson,2nd,5/1,6.0,Ran to form dropped in trip when winning a classified race at Windsor over 10f by a head last time; effective from 8-12f. Not the force of old despite that success and needs to back it up.
300063,183491,4,2,106497,GB,Pablo Prince,7,9-9,61.2,p,49,193.0,R Havlin,4179.0,K Jewell,,,,"Never involved when beaten 9l in a handicap over 11f at Windsor last time; generally out of form. Top jockey back on board; effective at 11/12f and possibly better on all-weather, but overall form has dipped."
300064,183491,5,1,118990,GB,Pending Appeal,5,9-9,61.2,None,45,5950.0,Alec Voikhansky,4239.0,K Frost,,,,"Ran to form when fourth, beaten 2l, in a handicap over 10f at Leicester last time. Probably best at 10f, acts on any surface, and hinting at a return to form."
300065,183491,6,12,121141,IRE,Sir Laurence Graff,5,9-9,61.2,None,49,2501.0,Joey Haynes,4149.0,C Banham,,,,Did too much too soon and was beaten 9l in a classified race over 10f here last time; had been in good form prior. Acts on good and all-weather; effective at 10f but stamina for further remains unproven.
300066,183491,7,9,131308,FR,Sneaky Blinder,4,9-9,61.2,p,50,22.0,L Morris,4156.0,R Stephens,,,,Ran to form when 2 1/2l third in a handicap over 1m5f at Bath last time. Suited by 12f and probably stays 2m; best on a sound surface and consistent.
300067,183491,8,4,153583,IRE,Both Of Us,3,9-0,57.15,t,49,5838.0,Billy Loughnane,4126.0,G Boughey,,,,"Below form when upped in trip and may not have stayed, beaten 8 1/4l in a handicap over 10f here last time; generally out of form. Trainer is in form; wears tongue-tie first time. Effective at 1m on a sound surface but stamina unproven."
300068,183491,9,8,141865,GB,Celtic Diligence,3,9-0,57.15,None,47,2799.0,Paddy Bradley,211.0,P Phelan,,,,Outpaced and appeared unsuited by the drop in trip when beaten 9l in a classified race over 10f here last time. Probably flattered by novice ratings and likely needs 12f.
300069,183491,10,3,146647,FR,Godstone,3,9-0,57.15,tv,50,3574.0,Tom Marquand,4154.0,T Ward,,40/1,41.0,"Made too much use of when upped in trip, did not stay and was well beaten in a handicap over 1m6f at Nottingham last time. Generally out of form; visor first time. Has beaten only one home in handicaps and looks flattered by novice form; plenty to prove."
300070,183491,11,7,152161,GB,Kilima,3,9-0,57.15,p,48,4174.0,Rossa Ryan,3834.0,James Owen,1st,7/2,4.5,"Ran to form when second, beaten 1 1/2l, in a handicap over 11f at Yarmouth last time. Suited by 11/12f and a sound surface; capable of better if presented with a stiff test."
300071,183491,12,5,144961,IRE,Silk And Steel,3,9-0,57.15,p,50,4468.0,D Egan,4347.0,G & J Moore,,,,Improved back down in trip and grade to win a classified race at Brighton by a length last time; effective at 11-12f on good to firm and all-weather. More to come judged on hurdles win.
300072,183492,1,2,146619,IRE,Sovereign Lad,3,9-9,61.2,t,60,5838.0,Billy Loughnane,4159.0,D M Loughnane,,,,Never competitive after missing the break when well beaten in a maiden over 7f at Wolverhampton last time; trainer in form; tongue-tie fitted for the first time; effective at 7f on all-weather; debut effort looks flattered.
300073,183492,2,4,154384,GB,Grey Selkie,3,9-9,61.2,None,60,22.0,L Morris,1039.0,J Gallagher,,,,"Showed some improvement on final qualifying run, finishing fourth and beaten 6l in a novice at Windsor latest; needs to back up that effort."
