id,race_id,horse_number,Draw,Horse_ID,Country,Name,Age,weight_uk,weight,gears,Horse_rate,jockey_ID,jockey,trainer_ID,trainer,fav,odds,odds_decimal,Timeform_comments
298390,183316,1,6.0,145096,IRE,Kentucky River,3,10-1,63.95,p,80.0,22,L Morris,3867,Ollie Sangster,,,,Improved for quicker ground with an easy victory when landing a handicap by 7l off a mark of 74 over 2m1f at Pontefract last time. Significant jockey booking. Steadily progressive as the trip increases and has more to come as a stayer.
298391,183316,2,3.0,133838,IRE,Simiyann,5,10-0,63.5,p,68.0,5191,Saffie Osborne,45,Ian Williams,,9/1,10.0,"Scored by a head off 69 at Haydock in May. Ran to form when fourth, beaten 8 1/2l off the same mark last time. Significant jockey booking. A consistent stayer who goes well on a sound surface."
298392,183316,3,1.0,126681,IRE,Hedonista,5,9-12,62.55,pt,66.0,5641,Elizabeth Gale,528,B J Llewellyn,,16/1,17.0,"Below form in first-time cheekpieces when comfortably held in a handicap over 1m6f here last time. Generally out of form and struggling of late, though now back below her last winning mark."
298393,183316,4,4.0,101576,FR,Masterdream,8,9-9,61.2,pt,63.0,5195,Callum Hutchinson,312,N P Mulholland,2nd,5/1,6.0,Travelled well and improved down in grade with a positive ride when scoring by 9l off 97 over 2m7f at Worcester on his penultimate start. A veteran who needs a sound surface. Back to form over hurdles latest and could transfer that back to the flat.
298394,183316,5,2.0,140532,GB,Navid,3,9-6,59.85,p,71.0,4172,Finley Marsh,4104,Harry Charlton,1st,6/5,2.2,"Improved up in trip under a positive ride when landing a handicap by 2l off 63 over 1m6f at Salisbury last time. Trainer in form. Progressing as the trip increases, quick ground suits, and he has more to come as a stayer."
298395,183317,1,4.0,154859,IRE,Lost Signal,2,9-11,62.1,,,5950,Alec Voikhansky,223,R Hannon,,,,"Improved when dropped in trip, though still keen, and won a Salisbury maiden over 6f by 2 1/2l last time. Effective from 6-7f on fast ground and could progress again if settling better."
298396,183317,2,2.0,153799,IRE,Magnatura,2,9-7,60.3,,,4172,Finley Marsh,4154,T Ward,1st,85/40,3.13,Benefited from debut experience to win a novice at Kempton by 3l last time. Returns from a short break and is effective over 7f on a sound surface.
298397,183317,3,1.0,153671,IRE,Must Be Ten,2,9-4,58.95,,,5191,Saffie Osborne,262,J A Osborne,,,,"Promising debut when runner-up in a Brighton maiden over 6f, beaten 4 1/2l after meeting early trouble. Off a short break since; should improve for the experience and may stay 7f."
298398,183317,4,3.0,155113,GB,Demetris Mouflon,2,8-9,54.85,,,3860,Pierre-Louis Jamin,162,B R Millman,,,,"Showed improvement from debut when beaten 8 1/4l in a Windsor novice over 6f last time. With the trainer in form, she looks one for nurseries."
298399,183318,1,4.0,111461,IRE,Chifa,8,9-9,61.2,,65.0,3959,William Cox,1859,Ed De Giles,,18/1,19.0,Never involved when down the field in a Haydock handicap most recently; effective at 7f on a sound surface. Below par of late but returns to last winning mark.
298400,183318,2,5.0,111073,GB,Flatley,8,9-8,60.75,p,64.0,4172,Finley Marsh,4151,A Wintle,2nd,11/2,6.5,Ran to form when beaten 2l off 64 over 8f at Haydock last time; leading jockey returns to the saddle. Effective from 8-10f on a sound surface.
298401,183318,3,1.0,76056,GB,Harbour Vision,10,9-7,60.3,b,63.0,2501,Joey Haynes,2243,S Dixon,,,,Went too hard early from a wide draw and finished down the field in a 9f Wolverhampton handicap most recently. Had been in good form prior and is consistent at 7-8f on a sound surface.
298402,183318,4,9.0,128757,GB,Cypriot Diaspora,4,9-7,60.3,,63.0,3797,Lewis Edmunds,162,B R Millman,,,,Ran to form when beaten 3 1/4l off 64 at Haydock last time. Effective from 6-7f and suited by cut; now dropped to a reasonable mark.
298403,183318,5,8.0,128086,GB,Mbappe,4,9-6,59.85,,62.0,5548,Joe Leavy,4159,D M Loughnane,,10/1,11.0,Weakened tamely and finished down the field in a Doncaster handicap most recently; generally out of form though stable is going well. Effective at 7f on a sound surface but struggling in 2025.
298404,183318,6,2.0,128242,IRE,Hows The Guvnor,4,9-5,59.4,h,61.0,5329,Jonny Peate,595,J Candlish,,,,Extended poor run when beaten 9l in a Doncaster handicap last time; regressive profile.
298405,183318,7,7.0,130151,IRE,Charencey,5,9-3,58.5,vt,59.0,5195,Callum Hutchinson,45,Ian Williams,1st,9/2,5.5,Poor run in first-time cheekpieces when down the field over 8f at Doncaster most recently. Generally out of form but tries a visor for the first time after a short break; effective at 7-8f.
298406,183318,8,10.0,100123,IRE,Windsor Pass,7,9-0,57.15,,56.0,22,L Morris,2260,J Butler,,,,"Ran to form when second, beaten 5l in an 8f handicap at Southwell latest. Steadily progressive with a leading jockey back on board; consistent at 7-8f on a sound surface and capable off this mark."
298407,183318,9,6.0,97667,GB,The Cola Kid,8,8-7,53.95,bt,49.0,5191,Saffie Osborne,4229,G Harris,,,,"Short of room but flattened out when clear, beaten 3l off 51 over 6f here last time. Notable jockey booking; effective at 6-7f on a sound surface."
298408,183319,1,7.0,142234,USA,Kingsclere,3,9-9,61.2,,55.0,5329,Jonny Peate,4240,J Ferguson,1st,16/5,4.2,Keen and never involved on her final qualifying run when finishing down the field in a maiden at Haydock most recently. Possible improver in handicaps and likely to stay 1m.
298409,183319,2,3.0,140939,GB,On A Vespa,3,9-9,61.2,p,55.0,5548,Joe Leavy,224,J G Portman,,,,"Ran to form when stepping up in trip, beaten 3l off 55 over 8f at Windsor last time. Wears cheekpieces for the first time and effective between 7f and 8f on fast ground."
298410,183319,3,6.0,144378,GB,Step Along,3,9-8,60.75,,54.0,3797,Lewis Edmunds,4160,W Muir & C Grassick,,,,"Ran to form when staying the longer trip, beaten 4l off 54 at Lingfield last time. Suited by a sound surface and effective from 5f to 7f."
298411,183319,4,4.0,141277,GB,Scenario,3,9-7,60.3,p,53.0,3959,William Cox,3791,Jack Jones,2nd,4/1,5.0,"Below form when back up in trip, beaten 10l in a classified race over 8f at Chepstow last time. Usually consistent, effective between 7f and 9f, but can be inconsistent."
298412,183319,5,8.0,142268,GB,Champagnebreakfast,3,9-7,60.3,,53.0,4077,Georgia Dobie,4309,Edward Smyth-osbourne,,10/1,11.0,"Continued in poor form when beaten 8l in a novice at Wolverhampton last time. Trainer in form, but she returns from a long layoff and has yet to show anything of note."
298413,183319,6,1.0,138172,IRE,Dandy Khan,3,9-6,59.85,,52.0,5651,Taylor Fisher,4168,P Gundry,,,,"No obvious excuse when finishing down the field in a handicap over 8f at Windsor most recently. Acts on any ground and effective between 7f and 8f, but currently out of form."
298414,183319,7,2.0,138533,IRE,Oldbury Lad,3,9-0,57.15,p,46.0,4172,Finley Marsh,4229,G Harris,,,,"Poor run when dropped in grade, beaten 8 1/4l in a classified race over 6f at Lingfield last time. Generally out of form, though has a significant jockey booking, and effective over 6f on fast ground."
298415,183319,8,9.0,141734,IRE,Spinning Dancer,3,9-0,57.15,,46.0,22,L Morris,111,J S Moore,,,,"Poor run when up in grade, beaten 8l in a handicap at Leicester last time. Generally out of form despite a significant jockey booking and looks on a stiff mark."
298416,183319,9,5.0,142176,GB,Havanas Dream,3,9-0,57.15,p,46.0,5641,Elizabeth Gale,172,R Harris,,,,Has no worthwhile form and has yet to show anything over sprint trips.
298417,183320,1,9.0,129398,IRE,Aljezur,4,9-9,61.2,p,50.0,3797,Lewis Edmunds,595,J Candlish,1st,9/2,5.5,Never threatened when stepped up in trip and finished down the field in a 9f handicap at Wolverhampton most recently. Usually held up and returns from a short break. Effective at 1m on a sound surface but remains an out-of-form maiden.
