Race_ID,race_number,race_time,course_id,Course,Race_type,Date,Race_name,Class,Years,Distance,Surface,Prize,Runners_racecard,Runners,Draw,EW_racecard,EW,Places_EW_racecard,Places_EW
183316,1,14:10,26,Ffos-Las,Flat Turf,2025-08-22,Ascona Ladies Fuelled By Fashion Handicap,Class 5,3YO plus,2m,Good-good to firm in places,4187,5,5,,4,0,2,0
183317,2,14:45,26,Ffos-Las,Flat Turf,2025-08-22,Ascona Ladies In Lace EBF Restricted Novice Stakes,Class 5,2YO only,7f 80y,Good-good to firm in places,3672,4,4,High,1,0,1,0
183318,3,15:20,26,Ffos-Las,Flat Turf,2025-08-22,Ascona Ladies Chic Fashion Handicap,Class 6,4YO plus,7f 80y,Good-good to firm in places,3454,9,9,High,5,0,3,0
183319,4,15:55,26,Ffos-Las,Flat Turf,2025-08-22,Ascona Ladies Fashion And Style Handicap,Class 6,3YO only,7f 80y,Good-good to firm in places,3454,9,9,High,5,0,3,0
183320,5,16:30,26,Ffos-Las,Flat Turf,2025-08-22,Ascona Fabulous Ladies Classified Stakes,Class 6,3YO plus,1m 2f,Good-good to firm in places,3454,11,11,High,5,0,3,0
183321,6,17:00,26,Ffos-Las,Flat Turf,2025-08-22,Ascona Ladies Race Day Elegance Handicap,Class 6,3YO plus,1m 3f 209y,Good-good to firm in places,3454,5,5,Low,4,0,2,0
183322,1,17:15,29,Goodwood,Flat Turf,2025-08-22,Gay Kindersley Amateur Jockeys' Handicap,Class 5,4YO plus,1m 1f 11y,Good-good to firm in places,5290,10,10,,5,0,3,0
183323,2,17:48,29,Goodwood,Flat Turf,2025-08-22,Virgin Bet / EBF Maiden Fillies' Stakes,Class 4,2YO only,6f,Good-good to firm in places,8100,9,9,,5,0,3,0
183324,3,18:18,29,Goodwood,Flat Turf,2025-08-22,White &amp; Brooks Fillies' Handicap,Class 4,3YO plus,1m,Good-good to firm in places,6621,5,5,,4,0,2,0
183325,4,18:48,29,Goodwood,Flat Turf,2025-08-22,LiveScoreBet Fillies' Handicap,Class 4,3YO plus,1m 3f 218y,Good-good to firm in places,6621,6,6,,4,0,2,0
183326,5,19:18,29,Goodwood,Flat Turf,2025-08-22,Virgin Bet Handicap,Class 5,3YO plus,5f,Good-good to firm in places,5751,7,7,,4,0,2,0
183327,6,19:48,29,Goodwood,Flat Turf,2025-08-22,Virgin Bet Supports Safe Gambling Handicap,Class 5,3YO plus,6f,Good-good to firm in places,5751,11,11,,5,0,3,0
183328,1,17:05,31,Hamilton,Flat Turf,2025-08-22,Whysettle IT Networks EBF Maiden Stakes,Class 4,2YO only,1m 68y,Good to firm-good in places,5400,8,8,,5,0,3,0
183329,2,17:35,31,Hamilton,Flat Turf,2025-08-22,Huws Gray British Stallions EBF Fillies' Handicap,Class 4,3YO plus,1m 1f 35y,Good to firm-good in places,8191,4,4,High,1,0,1,0
183330,3,18:05,31,Hamilton,Flat Turf,2025-08-22,Darley EBF Novice Stakes,Class 2,3YO plus,1m 3f 15y,Good to firm-good in places,20616,4,4,,1,0,1,0
183331,4,18:35,31,Hamilton,Flat Turf,2025-08-22,Ecosave Installations Lanark Silver Bell Handicap,Class 2,3YO plus,1m 4f 15y,Good to firm-good in places,51540,8,8,,5,0,3,0
183332,5,19:05,31,Hamilton,Flat Turf,2025-08-22,Contraflow Traffic Management Handicap,Class 3,3YO plus,5f 7y,Good to firm-good in places,10308,7,7,High,4,0,2,0
183333,6,19:35,31,Hamilton,Flat Turf,2025-08-22,Patersons Of Greenoakhill Handicap,Class 4,3YO plus,6f 6y,Good to firm-good in places,5286,6,6,High,4,0,2,0
183334,7,20:05,31,Hamilton,Flat Turf,2025-08-22,Martin Precision 2025 Handicap,Class 6,3YO plus,5f 7y,Good to firm-good in places,3664,8,8,High,5,0,3,0
183349,1,16:50,38,Kilbeggan,Hurdle,2025-08-22,Curragh To Curragh Charity Cycle On 30th August Maiden Hurdle,No Class,4YO plus,2m,Good,6000,13,13,,5,0,3,0
183350,2,17:25,38,Kilbeggan,Hurdle,2025-08-22,SIS Supporting Irish Racing Novice Hurdle,No Class,4YO plus,2m 2f 200y,Good,9300,6,6,,4,0,2,0
183351,3,17:55,38,Kilbeggan,Hurdle,2025-08-22,Tom Lynam Memorial Handicap Hurdle,No Class,4YO plus,2m 2f 200y,Good,6899,10,10,,5,0,3,0
183352,4,18:25,38,Kilbeggan,Hurdle,2025-08-22,Peadar's Bar Moate Maiden Hurdle,No Class,5YO plus,3m 1f,Good,6000,6,6,,4,0,2,0
183353,5,18:55,38,Kilbeggan,Chase,2025-08-22,New Forest Estate &amp; Golf Club Handicap Chase,No Class,4YO plus,3m 1f 180y,Good,6000,13,13,,4,0,3,0
183354,6,19:25,38,Kilbeggan,Chase,2025-08-22,MJS Building &amp; Development Handicap Chase,No Class,4YO plus,3m 1f 180y,Good,12000,8,8,,5,0,3,0
183355,7,19:55,38,Kilbeggan,Flat Turf,2025-08-22,John Thomas McNamara Series Flat Race,No Class,5YO plus,2m,Good,6300,10,10,,5,0,3,0
183356,1,17:10,39,Killarney,Flat Turf,2025-08-22,Irish Stallion Farms EBF Nursery Handicap,No Class,2YO only,1m 30y,Good,9000,10,10,,5,0,3,0
183357,2,17:41,39,Killarney,Flat Turf,2025-08-22,Cumnor Rated Race,No Class,3YO only,1m 30y,Good,9600,6,6,,4,0,2,0
183358,3,18:11,39,Killarney,Flat Turf,2025-08-22,Irish Stallion Farms EBF Vincent O'Brien Ruby Stakes,Class 1,3YO plus,1m 30y,Good,27000,11,11,,5,0,3,0
183359,4,18:41,39,Killarney,Flat Turf,2025-08-22,GAIN The Advantage Series Handicap,No Class,3YO plus,1m 30y,Good,9000,18,18,,4,0,4,0
183360,5,19:11,39,Killarney,Flat Turf,2025-08-22,Kellihers Toyota Kingdom Gold Cup Handicap,No Class,3YO plus,1m 6f 80y,Good,27000,11,11,Low,5,0,3,0
183361,6,19:41,39,Killarney,Flat Turf,2025-08-22,Killarney Welcomes Bordeaux Racecourse Apprentice Handicap,No Class,3YO plus,1m 6f 80y,Good,6899,14,14,Low,4,0,3,0
183362,7,20:15,39,Killarney,Flat Turf,2025-08-22,HR Buddy,No Class,4YO plus,2m 180y,Good,8700,9,9,Low,5,0,3,0
183335,1,12:50,53,Newmarket,Flat Turf,2025-08-22,World Pool Bet With The tote Handicap,Class 4,3YO plus,6f,Good to firm-good in places,15462,9,9,High,5,0,3,0
183336,2,13:20,53,Newmarket,Flat Turf,2025-08-22,Hong Kong Jockey Club World Pool Hopeful Stakes,Class 1,3YO plus,6f,Good to firm-good in places,31190,9,9,High,5,0,3,0
183337,3,14:00,53,Newmarket,Flat Turf,2025-08-22,JenningsBet Fillies' Novice Stakes,Class 4,2YO only,7f,Good to firm-good in places,5154,10,10,High,5,0,3,0
183338,4,14:35,53,Newmarket,Flat Turf,2025-08-22,JenningsBet British EBF Novice Stakes,Class 4,2YO only,7f,Good to firm-good in places,5154,6,6,High,4,0,2,0
183339,5,15:10,53,Newmarket,Flat Turf,2025-08-22,JenningsBet Fillies' Handicap,Class 4,3YO plus,6f,Good to firm-good in places,7731,7,7,High,4,0,2,0
183340,6,15:45,53,Newmarket,Flat Turf,2025-08-22,JenningsBet Sudbury Handicap,Class 5,3YO plus,1m 2f,Good to firm-good in places,5154,6,6,High,4,0,2,0
183341,7,16:20,53,Newmarket,Flat Turf,2025-08-22,JenningsBet Ingatestone Handicap,Class 4,3YO plus,1m 4f,Good to firm-good in places,7731,3,3,,1,0,1,0
183342,1,13:50,84,York,Flat Turf,2025-08-22,Sky Bet Handicap,Class 2,3YO plus,1m 3f 188y,Good to firm-good in places,61848,11,11,,5,0,3,0
183343,2,14:25,84,York,Flat Turf,2025-08-22,Weatherbys Lonsdale Cup Stakes,Class 1,3YO plus,2m 56y,Good to firm-good in places,141775,6,6,High,4,0,2,0
183344,3,15:00,84,York,Flat Turf,2025-08-22,Al Basti Equiworld Dubai Gimcrack Stakes,Class 1,2YO only,6f,Good to firm-good in places,141775,8,8,Low,5,0,3,0
183345,4,15:35,84,York,Flat Turf,2025-08-22,Coolmore Wootton Bassett Nunthorpe Stakes,Class 1,2YO plus,5f,Good to firm-good in places,395552,17,17,Low,5,0,3,0
183346,5,16:10,84,York,Flat Turf,2025-08-22,Assured Data Protection EBF Fillies' Handicap,Class 2,3YO plus,1m 2f 56y,Good to firm-good in places,51540,13,13,Low,4,0,3,0
183347,6,16:45,84,York,Flat Turf,2025-08-22,British Stallion Studs EBF Convivial Maiden Stakes,Class 2,2YO only,7f,Good to firm-good in places,51540,15,15,,5,0,3,0
183348,7,17:20,84,York,Flat Turf,2025-08-22,Sky Bet Mile Handicap,Class 2,3YO only,7f 192y,Good to firm-good in places,51540,17,17,,4,0,4,0
