id,uptodate,state,race_id_last_race,date_last_race,name,country,age,color,owner,sire,dam,dam_sire,sex,Total_races,Wins,Percentage_wins,placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
37056,2025-08-25,Active,183460,2025-08-25,Damascus Steel,IRE,15,grey,Mr J P G Hamilton,Definite Article (UK),Diamarouna (FR),Kouroun (FR),gelding,23.0,1,4.35%,7,30.43%,6,0,0.00%,3,50.00%,8,0,0.00%,1,12.50%,0,0,0%,0,0%,9,1,11.11%,3,33.33%
57825,2025-08-25,Active,183477,2025-08-25,Father Jed,IRE,14,bay,John Patrick Ryan & Miss Gillian Ryan,Kutub (IRE),Astrid (IRE),Rhoman Rule (USA),gelding,94.0,9,9.57%,21,22.34%,0,0,0%,0,0%,0,0,0%,0,0%,48,2,4.17%,14,29.17%,46,7,15.22%,7,15.22%
66378,2025-08-25,Active,183472,2025-08-25,Jackhammer,IRE,11,bay,Mr A Slack,Thewayyouare (USA),Ask Annie (IRE),Danehill (USA),gelding,74.0,10,13.51%,20,27.03%,3,0,0.00%,2,66.67%,43,8,18.60%,12,27.91%,12,0,0.00%,3,25.00%,16,2,12.50%,3,18.75%
67115,2025-08-25,Active,183458,2025-08-25,Contrast,IRE,11,chestnut,Miss Serena Brotherton,Dutch Art (UK),Israar (UK),Machiavellian (USA),gelding,58.0,8,13.79%,16,27.59%,18,2,11.11%,4,22.22%,40,6,15.00%,12,30.00%,0,0,0%,0,0%,0,0,0%,0,0%
71650,2025-08-25,Active,183444,2025-08-25,Anywaythewindblows,GB,11,chestnut,Mrs C A Torkington,Shirocco (GER),Welanga (UK),Dansili (UK),gelding,3.0,0,0%,2,66.67%,2,0,0.00%,1,50.00%,1,0,0.00%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
75235,2025-08-25,Active,183455,2025-08-25,Garden Oasis,GB,10,bay,Mr T A Scothern & Partner,Excelebration (IRE),Queen Arabella (UK),Medicean (UK),gelding,74.0,14,18.92%,18,24.32%,1,0,0.00%,1,100.00%,73,14,19.18%,17,23.29%,0,0,0%,0,0%,0,0,0%,0,0%
76894,2025-08-25,Active,183486,2025-08-25,Fr Gilligansvoyge,GB,12,bay,Richard J Farrell,Yeats (IRE),Maiden Voyage (UK),Slip Anchor (UK),gelding,64.0,1,1.56%,11,17.19%,0,0,0%,0,0%,4,0,0.00%,2,50.00%,35,1,2.86%,5,14.29%,25,0,0.00%,3,12.00%
77015,2025-08-25,Active,183469,2025-08-25,The Jam Man,IRE,12,brown,Mr T Murray,Papal Bull (UK),Kathy Jet (USA),Singspiel (IRE),gelding,62.0,11,17.74%,13,20.97%,2,0,0.00%,1,50.00%,16,1,6.25%,5,31.25%,13,3,23.08%,0,0%,31,7,22.58%,7,22.58%
77612,2025-08-25,Active,183487,2025-08-25,Wajaaha,IRE,10,bay,Patrick J Mckenna,New Approach (IRE),Thaahira (USA),Dynaformer (USA),gelding,72.0,5,6.94%,22,30.56%,19,1,5.26%,10,52.63%,19,1,5.26%,4,21.05%,2,0,0.00%,1,50.00%,32,3,9.38%,7,21.88%
80411,2025-08-25,Active,183472,2025-08-25,Ballywood,FR,11,bay,Ms G Howell,Ballingarry (IRE),Miss Hollywood (FR),True Brave (USA),gelding,27.0,3,11.11%,9,33.33%,1,0,0.00%,0,0%,0,0,0%,0,0%,21,3,14.29%,7,33.33%,5,0,0.00%,2,40.00%
80587,2025-08-25,Active,183470,2025-08-25,Ilikedwayurthinkin,IRE,11,bay,Mr John P Mcmanus,Yeats (IRE),Sway (FR),Califet (FR),gelding,46.0,9,19.57%,10,21.74%,0,0,0%,0,0%,0,0,0%,0,0%,23,7,30.43%,7,30.43%,23,2,8.70%,3,13.04%
81718,2025-08-25,Active,183449,2025-08-25,Eye Of The Water,IRE,9,bay,Ridge House Stables Ltd,Lilbourne Lad (IRE),Desert Location (UK),Dubai Destination (USA),gelding,91.0,8,8.79%,44,48.35%,31,2,6.45%,18,58.06%,60,6,10.00%,26,43.33%,0,0,0%,0,0%,0,0,0%,0,0%
84839,2025-08-25,Active,183449,2025-08-25,Gilt Edge,GB,9,bay,Mr S Bishop And Mr C Mason,Havana Gold (IRE),Bright Edge (UK),Danehill Dancer (IRE),mare,54.0,9,16.67%,15,27.78%,9,2,22.22%,1,11.11%,45,7,15.56%,15,33.33%,0,0,0%,0,0%,0,0,0%,0,0%
88244,2025-08-25,Active,183470,2025-08-25,Equus Dancer,IRE,11,bay,Mr Roddy Owen,Jeremy (USA),Celtic Cailin (IRE),Beneficial (UK),gelding,24.0,9,37.50%,6,25.00%,0,0,0%,0,0%,4,2,50.00%,2,50.00%,13,4,30.77%,2,15.38%,7,3,42.86%,2,28.57%
88390,2025-08-25,Active,183471,2025-08-25,Arthurs Quay,IRE,11,bay,Mr John P Mcmanus,Beat Hollow (UK),Bannow Girl (IRE),Glacial Storm (USA),gelding,37.0,7,18.92%,9,24.32%,0,0,0%,0,0%,0,0,0%,0,0%,30,6,20.00%,8,26.67%,7,1,14.29%,1,14.29%
89826,2025-08-25,Active,183468,2025-08-25,Vocal Duke,IRE,9,bay,Jim Bracken & Keith Hadwin,Vocalised (USA),Heir Today (IRE),Princely Heir (IRE),gelding,51.0,4,7.84%,15,29.41%,2,0,0.00%,0,0%,10,0,0.00%,1,10.00%,1,0,0.00%,0,0%,38,4,10.53%,14,36.84%
90140,2025-08-25,Active,183446,2025-08-25,Fact Or Fable,IRE,8,grey,Mrs Wendy Jarrett & J S Moore,Alhebayeb (IRE),Unreal (UK),Dansili (UK),gelding,111.0,11,9.91%,47,42.34%,55,3,5.45%,30,54.55%,54,8,14.81%,16,29.63%,0,0,0%,0,0%,2,0,0.00%,1,50.00%
90428,2025-08-25,Active,183446,2025-08-25,Port Noir,GB,8,black,Endless Acres Ten,Harbour Watch (IRE),Cocabana (UK),Captain Rio (UK),mare,96.0,10,10.42%,31,32.29%,53,6,11.32%,18,33.96%,43,4,9.30%,13,30.23%,0,0,0%,0,0%,0,0,0%,0,0%
90808,2025-08-25,Active,183468,2025-08-25,Secret Secret,IRE,9,bay,The Secrets,Born To Sea (IRE),Maughami (UK),Manduro (GER),gelding,42.0,6,14.29%,9,21.43%,0,0,0%,0,0%,13,1,7.69%,2,15.38%,0,0,0%,0,0%,29,5,17.24%,7,24.14%
91792,2025-08-25,Active,183471,2025-08-25,Yccs Portocervo,FR,10,grey,Mrs M C Litton,Martaline (UK),Griva (FR),Discover D'auteuil (FR),gelding,34.0,9,26.47%,12,35.29%,0,0,0%,0,0%,0,0,0%,0,0%,27,7,25.93%,9,33.33%,7,2,28.57%,3,42.86%
91795,2025-08-25,Active,183469,2025-08-25,Wbee,IRE,10,bay,Mrs D Ritson,Yeats (IRE),Consultation (IRE),Camden Town (UK),gelding,23.0,7,30.43%,8,34.78%,0,0,0%,0,0%,4,1,25.00%,2,50.00%,0,0,0%,0,0%,19,6,31.58%,6,31.58%
92289,2025-08-25,Active,183471,2025-08-25,Hurricane Ali,IRE,9,bay,Mr John,Alhebayeb (IRE),Hurricane Irene (IRE),Green Desert (USA),gelding,51.0,6,11.76%,20,39.22%,6,0,0.00%,3,50.00%,3,0,0.00%,0,0%,4,0,0.00%,1,25.00%,38,6,15.79%,16,42.11%
92514,2025-08-25,Active,183482,2025-08-25,The Truant,IRE,8,g,Thirteen Apostles Racing Syndicate,Mastercraftsman (IRE),Invincible Cara (IRE),Invincible Spirit (IRE),gelding,58.0,4,6.90%,17,29.31%,3,0,0.00%,1,33.33%,28,3,10.71%,9,32.14%,0,0,0%,0,0%,27,1,3.70%,7,25.93%
92912,2025-08-25,Active,183457,2025-08-25,Arranmore,GB,8,bay,The Rat Pack Racing Club,Oasis Dream (UK),Ceisteach (IRE),New Approach (IRE),gelding,66.0,5,7.58%,19,28.79%,15,1,6.67%,4,26.67%,51,4,7.84%,15,29.41%,0,0,0%,0,0%,0,0,0%,0,0%
93006,2025-08-25,Active,183450,2025-08-25,Punchbowl Flyer,IRE,8,bay,The Cross Racing Club,Dream Ahead (USA),All On Red (IRE),Red Clubs (IRE),gelding,51.0,8,15.69%,9,17.65%,3,0,0.00%,0,0%,48,8,16.67%,9,18.75%,0,0,0%,0,0%,0,0,0%,0,0%
94515,2025-08-25,Active,183448,2025-08-25,Some Nightmare,IRE,8,bay,Mrs S M Maine & Mr Roger Gould & Partn,Dream Ahead (USA),Isolde's Return (UK),Avonbridge (UK),gelding,55.0,8,14.55%,17,30.91%,10,1,10.00%,4,40.00%,45,7,15.56%,13,28.89%,0,0,0%,0,0%,0,0,0%,0,0%
94772,2025-08-25,Active,183486,2025-08-25,Greenway Machine,IRE,13,bay,Peter Killeen,Robin Des Pres (FR),Go For Grogan (IRE),Digamist (USA),gelding,34.0,2,5.88%,7,20.59%,0,0,0%,0,0%,0,0,0%,0,0%,33,2,6.06%,7,21.21%,1,0,0.00%,0,0%
95672,2025-08-25,Active,183487,2025-08-25,Willywampus,IRE,8,chestnut,Mrs Valerie Courtney,Zoffany (IRE),Fanzine (UK),Medicean (UK),gelding,34.0,2,5.88%,7,20.59%,2,0,0.00%,0,0%,8,0,0.00%,2,25.00%,14,2,14.29%,4,28.57%,10,0,0.00%,1,10.00%
96140,2025-08-25,Active,183476,2025-08-25,Kilashee,IRE,10,bay,Bitview Partnership,Oscar (IRE),Echo Queen (IRE),Luso (UK),mare,68.0,7,10.29%,15,22.06%,0,0,0%,0,0%,3,0,0.00%,0,0%,32,3,9.38%,8,25.00%,33,4,12.12%,6,18.18%
98519,2025-08-25,Active,183468,2025-08-25,Do No Wrong,IRE,9,brown,Mrs Pauline Southerington,Sageburg (IRE),Uncommited (IRE),Dr Massini (IRE),gelding,23.0,5,21.74%,8,34.78%,0,0,0%,0,0%,1,0,0.00%,0,0%,13,4,30.77%,3,23.08%,9,1,11.11%,5,55.56%
98614,2025-08-25,Active,183475,2025-08-25,Not May,IRE,11,bay,Hugh Paul Finegan,Arcadio (GER),All Except Alice (IRE),Fourstars Allstar (USA),mare,18.0,0,0%,6,33.33%,0,0,0%,0,0%,2,0,0.00%,1,50.00%,2,0,0.00%,1,50.00%,14,0,0.00%,4,28.57%
98931,2025-08-25,Active,183450,2025-08-25,Mighty Gurkha,IRE,7,bay,The Two Sisters,Sepoy (AUS),Royal Debt (UK),Royal Applause (UK),gelding,38.0,4,10.53%,12,31.58%,21,3,14.29%,6,28.57%,17,1,5.88%,6,35.29%,0,0,0%,0,0%,0,0,0%,0,0%
98951,2025-08-25,Active,183465,2025-08-25,Bomb Squad,IRE,7,grey,Derbyshire Racing Iii,Lethal Force (IRE),Dutch Destiny (UK),Dutch Art (UK),gelding,72.0,8,11.11%,30,41.67%,54,6,11.11%,20,37.04%,18,2,11.11%,10,55.56%,0,0,0%,0,0%,0,0,0%,0,0%
99327,2025-08-25,Active,183456,2025-08-25,Yazaman,IRE,7,bay,Elizabeth Twibell & Partner,Kodiac (UK),Online Alexander (IRE),Acclamation (UK),gelding,55.0,5,9.09%,19,34.55%,13,0,0.00%,3,23.08%,42,5,11.90%,16,38.10%,0,0,0%,0,0%,0,0,0%,0,0%
100272,2025-08-25,Active,183458,2025-08-25,Innse Gall,GB,7,bay,Goodracingcopaulhanaganalfasiteservice,Toronado (IRE),Reaf (UK),In The Wings (UK),gelding,37.0,5,13.51%,16,43.24%,7,0,0.00%,3,42.86%,30,5,16.67%,12,40.00%,0,0,0%,0,0%,0,0,0%,0,0%
100364,2025-08-25,Active,183446,2025-08-25,Rival,GB,7,bay,P Duffyd Semmensvwilliamsrharpermloved,Iffraaj (UK),Pamona (IRE),Duke Of Marmalade (IRE),gelding,34.0,2,5.88%,12,35.29%,1,0,0.00%,0,0%,33,2,6.06%,12,36.36%,0,0,0%,0,0%,0,0,0%,0,0%
101281,2025-08-25,Active,183448,2025-08-25,Fossos,IRE,7,bay,Gareth Cheshire T P Faulkner,Dandy Man (IRE),Beguiler (UK),Refuse To Bend (IRE),gelding,46.0,6,13.04%,10,21.74%,6,1,16.67%,1,16.67%,40,5,12.50%,9,22.50%,0,0,0%,0,0%,0,0,0%,0,0%
101460,2025-08-25,Active,183465,2025-08-25,Royal Musketeer,GB,7,bay,S And S Racing,Acclamation (UK),Queen's Pearl (IRE),Exceed and Excel (AUS),gelding,42.0,5,11.90%,14,33.33%,14,3,21.43%,2,14.29%,28,2,7.14%,12,42.86%,0,0,0%,0,0%,0,0,0%,0,0%
101580,2025-08-25,Active,183446,2025-08-25,Ajrad,GB,7,chestnut,Canisbay Bloodstock,New Approach (IRE),Princess Cammie (IRE),Camacho (UK),gelding,57.0,7,12.28%,13,22.81%,32,3,9.38%,4,12.50%,25,4,16.00%,8,32.00%,0,0,0%,0,0%,0,0,0%,0,0%
101643,2025-08-25,Active,183449,2025-08-25,Shark Two One,GB,7,bay,Mayflower Racing Club,Adaay (IRE),Touching (IRE),Kheleyf (USA),gelding,56.0,5,8.93%,19,33.93%,8,0,0.00%,2,25.00%,48,5,10.42%,16,33.33%,0,0,0%,0,0%,0,0,0%,0,0%
101943,2025-08-25,Active,183476,2025-08-25,Rockon Henry,IRE,10,bay,Fintan Feeney,Lovelace (UK),Girlie'sdream (IRE),Dushyantor (USA),gelding,11.0,0,0%,2,18.18%,0,0,0%,0,0%,4,0,0.00%,1,25.00%,0,0,0%,0,0%,7,0,0.00%,1,14.29%
102041,2025-08-25,Active,183469,2025-08-25,Pounding Poet,IRE,9,bay,Hft Limted And P J King And Son,Yeats (IRE),Pestal And Mortar (IRE),Tamayaz (CAN),gelding,24.0,5,20.83%,8,33.33%,0,0,0%,0,0%,1,0,0.00%,1,100.00%,2,0,0.00%,0,0%,21,5,23.81%,6,28.57%
102077,2025-08-25,Active,183465,2025-08-25,Rough Diamond,IRE,8,bay,Mr Paul L Drinkwater,Starspangledbanner (AUS),Good To Follow (IRE),Kyllachy (UK),gelding,39.0,5,12.82%,9,23.08%,12,2,16.67%,3,25.00%,26,2,7.69%,6,23.08%,1,1,100.00%,0,0%,0,0,0%,0,0%
102213,2025-08-25,Active,183484,2025-08-25,Peckham Springs,IRE,8,chestnut,Lios An Tseagal Syndicate,Gale Force Ten (UK),Quick Thinking (IRE),Daylami (IRE),gelding,37.0,2,5.41%,8,21.62%,0,0,0%,0,0%,7,0,0.00%,3,42.86%,11,0,0.00%,3,27.27%,19,2,10.53%,2,10.53%
102245,2025-08-25,Active,183446,2025-08-25,Spirit Of The Bay,IRE,7,bay,Mr J L Flint,Cable Bay (IRE),Decorative (IRE),Danehill Dancer (IRE),mare,37.0,6,16.22%,9,24.32%,7,2,28.57%,2,28.57%,30,4,13.33%,7,23.33%,0,0,0%,0,0%,0,0,0%,0,0%
102351,2025-08-25,Active,183450,2025-08-25,Macs Dilemma,IRE,7,bay,The Cross Racing Club,Coulsty (IRE),Ohsosecret (UK),Sakhee's Secret (UK),gelding,49.0,7,14.29%,12,24.49%,12,1,8.33%,3,25.00%,37,6,16.22%,9,24.32%,0,0,0%,0,0%,0,0,0%,0,0%
102356,2025-08-25,Active,183456,2025-08-25,Thornaby Pearl,GB,7,bay,Ingleby Bloodstock Limited,Pearl Secret (UK),Juncea (UK),Elnadim (USA),gelding,43.0,5,11.63%,11,25.58%,5,0,0.00%,2,40.00%,38,5,13.16%,9,23.68%,0,0,0%,0,0%,0,0,0%,0,0%
102512,2025-08-25,Active,183470,2025-08-25,Lord Accord,IRE,10,bay,Lynne & Angus Maclennan,Yeats (IRE),Cush Jewel (IRE),Executive Perk (UK),gelding,13.0,2,15.38%,4,30.77%,0,0,0%,0,0%,0,0,0%,0,0%,8,1,12.50%,1,12.50%,5,1,20.00%,2,40.00%
102551,2025-08-25,Active,183472,2025-08-25,Restandbethankful,GB,9,brown,Bolton Mill Racing & Ursa Major,Califet (FR),Persian Forest (UK),Presenting (UK),gelding,48.0,7,14.58%,12,25.00%,1,0,0.00%,1,100.00%,1,1,100.00%,0,0%,24,3,12.50%,5,20.83%,22,3,13.64%,6,27.27%
102720,2025-08-25,Active,183455,2025-08-25,Isla Kai,IRE,7,bay,Martin Webb Racing,Awtaad (IRE),Sidney Girl (UK),Azamour (IRE),gelding,26.0,6,23.08%,9,34.62%,2,0,0.00%,1,50.00%,24,6,25.00%,8,33.33%,0,0,0%,0,0%,0,0,0%,0,0%
102725,2025-08-25,Active,183446,2025-08-25,Lhebayeb,GER,7,bay,Mr Douglas Boddy,Alhebayeb (IRE),Lady Gabrielle (IRE),Dansili (UK),mare,52.0,6,11.54%,20,38.46%,27,2,7.41%,12,44.44%,21,4,19.05%,7,33.33%,1,0,0.00%,0,0%,3,0,0.00%,1,33.33%
102739,2025-08-25,Active,183472,2025-08-25,Pittsburg,IRE,9,bay,Mr Nick Price,Sageburg (IRE),Constant Approach (IRE),Pistolet Bleu (IRE),gelding,69.0,7,10.14%,13,18.84%,20,1,5.00%,5,25.00%,4,0,0.00%,1,25.00%,21,5,23.81%,5,23.81%,24,1,4.17%,3,12.50%
