Jockey_ID,UptoDate,Name,Total_races,Wins,Percentage_wins,Placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
1,2025-08-25,Declan Cannon,592,38,6.42%,133,22.47%,150,10,6.67%,25,16.67%,441,28,6.35%,108,24.49%,0,0,0%,0,0%,1,0,0%,0,0%
2,2025-08-25,Ross Atkinson,268,15,5.60%,67,25.00%,158,10,6.33%,35,22.15%,110,5,4.55%,32,29.09%,0,0,0%,0,0%,0,0,0%,0,0%
3,2025-08-25,W A Carson,920,94,10.22%,175,19.02%,540,56,10.37%,103,19.07%,379,38,10.03%,72,19.00%,1,0,0%,0,0%,0,0,0%,0,0%
4,2025-08-25,T Atkinson,327,18,5.50%,82,25.08%,185,9,4.86%,39,21.08%,142,9,6.34%,43,30.28%,0,0,0%,0,0%,0,0,0%,0,0%
5,2025-08-25,R Kennemore,837,58,6.93%,214,25.57%,334,20,5.99%,82,24.55%,501,38,7.58%,132,26.35%,2,0,0%,0,0%,0,0,0%,0,0%
6,2025-08-25,Lee Topliss,722,72,9.97%,206,28.53%,126,16,12.70%,42,33.33%,596,56,9.40%,164,27.52%,0,0,0%,0,0%,0,0,0%,0,0%
7,2025-08-25,Kelly Harrison,497,27,5.43%,98,19.72%,167,8,4.79%,21,12.57%,330,19,5.76%,77,23.33%,0,0,0%,0,0%,0,0,0%,0,0%
8,2025-08-25,B McHugh,1201,122,10.16%,326,27.14%,408,55,13.48%,86,21.08%,791,67,8.47%,240,30.34%,1,0,0%,0,0%,1,0,0%,0,0%
9,2025-08-25,T Eaves,10929,832,7.61%,3094,28.31%,4276,350,8.19%,1222,28.58%,6641,481,7.24%,1871,28.17%,10,0,0%,1,10.00%,2,1,50.00%,0,0%
10,2025-08-25,P Makin,4055,492,12.13%,1416,34.92%,934,131,14.03%,325,34.80%,3116,361,11.59%,1088,34.92%,4,0,0%,3,75.00%,1,0,0%,0,0%
11,2025-08-25,G Gibbons,2072,266,12.84%,602,29.05%,736,101,13.72%,222,30.16%,1335,165,12.36%,380,28.46%,0,0,0%,0,0%,1,0,0%,0,0%
12,2025-08-25,J F McDonald,491,26,5.30%,79,16.09%,262,15,5.73%,43,16.41%,229,11,4.80%,36,15.72%,0,0,0%,0,0%,0,0,0%,0,0%
13,2025-08-25,Ann Stokell,336,10,2.98%,85,25.30%,271,9,3.32%,74,27.31%,63,1,1.59%,11,17.46%,2,0,0%,0,0%,0,0,0%,0,0%
14,2025-08-25,R Winston,4906,612,12.47%,1651,33.65%,2319,312,13.45%,799,34.45%,2577,300,11.64%,846,32.83%,10,0,0%,6,60.00%,0,0,0%,0,0%
15,2025-08-25,C Catlin,2574,227,8.82%,566,21.99%,1301,110,8.46%,281,21.60%,1269,117,9.22%,284,22.38%,4,0,0%,1,25.00%,0,0,0%,0,0%
16,2025-08-25,A Culhane,392,34,8.67%,82,20.92%,200,17,8.50%,43,21.50%,192,17,8.85%,39,20.31%,0,0,0%,0,0%,0,0,0%,0,0%
17,2025-08-25,A Mullen,8209,681,8.30%,2459,29.95%,3372,297,8.81%,1091,32.35%,4831,383,7.93%,1367,28.30%,5,1,20.00%,1,20.00%,1,0,0%,0,0%
18,2025-08-25,J Fanning,11734,1685,14.36%,4063,34.63%,4802,721,15.01%,1703,35.46%,6920,963,13.92%,2359,34.09%,10,1,10.00%,1,10.00%,2,0,0%,0,0%
19,2025-08-25,Billy Cray,453,27,5.96%,101,22.30%,228,18,7.89%,60,26.32%,224,9,4.02%,41,18.30%,1,0,0%,0,0%,0,0,0%,0,0%
21,2025-08-25,M Lane,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
22,2025-08-25,L Morris,17228,1800,10.45%,5874,34.10%,11793,1284,10.89%,4169,35.35%,5420,515,9.50%,1702,31.40%,13,1,7.69%,3,23.08%,2,0,0%,0,0%
23,2025-08-25,J Dean,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
24,2025-08-25,N Callan,3724,481,12.92%,1143,30.69%,1333,198,14.85%,434,32.56%,2387,282,11.81%,709,29.70%,4,1,25.00%,0,0%,0,0,0%,0,0%
26,2025-08-25,William Carson,5834,427,7.32%,1886,32.33%,3551,266,7.49%,1161,32.70%,2278,161,7.07%,724,31.78%,5,0,0%,1,20.00%,0,0,0%,0,0%
27,2025-08-25,Mr Frazer Williams,3,0,0%,1,0%,1,0,0%,0,0%,2,0,0%,1,50.00%,0,0,0%,0,0%,0,0,0%,0,0%
28,2025-08-25,Tony Culhane,56,3,5.36%,10,17.86%,13,1,7.69%,1,7.69%,43,2,4.65%,9,20.93%,0,0,0%,0,0%,0,0,0%,0,0%
29,2025-08-25,David Probert,12458,1449,11.63%,4235,33.99%,6192,728,11.76%,2195,35.45%,6254,720,11.51%,2033,32.51%,12,1,8.33%,7,58.33%,0,0,0%,0,0%
30,2025-08-25,B J Geraghty,3795,772,20.34%,1246,32.83%,12,5,41.67%,3,25.00%,162,39,24.07%,67,41.36%,1265,245,19.37%,359,28.38%,2356,483,20.50%,817,34.68%
