Trainer_ID,UptoDate,Name,Total_races,Wins,Percentage_wins,Placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
1,2025-08-25,B Ellison,8465,1009,11.92%,2888,34.12%,2205,259,11.75%,748,33.92%,3673,374,10.18%,1167,31.77%,799,125,15.64%,289,36.17%,1788,251,14.04%,684,38.26%
2,2025-08-25,Tom Dascombe,5592,720,12.88%,2015,36.03%,1707,249,14.59%,671,39.31%,3866,466,12.05%,1339,34.64%,2,1,50.00%,1,50.00%,17,4,23.53%,4,23.53%
3,2025-08-25,Miss Gay Kelleway,2878,258,8.96%,964,33.50%,1625,175,10.77%,577,35.51%,1222,82,6.71%,376,30.77%,4,0,0%,1,25.00%,27,1,3.70%,10,37.04%
4,2025-08-25,Miss J Feilden,2523,188,7.45%,839,33.25%,1242,92,7.41%,422,33.98%,1256,95,7.56%,413,32.88%,2,0,0%,0,0%,23,1,4.35%,4,17.39%
5,2025-08-25,T T Clement,217,12,5.53%,33,15.21%,110,7,6.36%,16,14.55%,87,4,4.60%,14,16.09%,4,0,0%,1,25.00%,16,1,6.25%,2,12.50%
6,2025-08-25,R A Fahey,19599,2273,11.60%,6992,35.68%,4817,547,11.36%,1787,37.10%,14625,1714,11.72%,5146,35.19%,20,0,0%,10,50.00%,137,12,8.76%,49,35.77%
7,2025-08-25,Paul Murphy,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
8,2025-08-25,Ollie Pears,2627,206,7.84%,804,30.61%,842,78,9.26%,273,32.42%,1701,121,7.11%,505,29.69%,6,0,0%,1,16.67%,78,7,8.97%,25,32.05%
9,2025-08-25,B Smart,3790,392,10.34%,1262,33.30%,1230,143,11.63%,410,33.33%,2554,249,9.75%,851,33.32%,4,0,0%,1,25.00%,2,0,0%,0,0%
10,2025-08-25,D H Brown,1840,191,10.38%,673,36.58%,674,83,12.31%,263,39.02%,1147,107,9.33%,402,35.05%,3,0,0%,2,66.67%,16,1,6.25%,6,37.50%
11,2025-08-25,J L Spearing,1271,115,9.05%,417,32.81%,299,19,6.35%,71,23.75%,684,68,9.94%,229,33.48%,79,11,13.92%,39,49.37%,209,17,8.13%,78,37.32%
12,2025-08-25,R M H Cowell,3959,411,10.38%,1362,34.40%,1786,206,11.53%,641,35.89%,2171,205,9.44%,721,33.21%,1,0,0%,0,0%,1,0,0%,0,0%
13,2025-08-25,R Curtis,291,22,7.56%,55,18.90%,67,4,5.97%,14,20.90%,54,4,7.41%,8,14.81%,58,5,8.62%,14,24.14%,112,9,8.04%,19,16.96%
14,2025-08-25,W J H Ratcliffe,20,2,10.00%,4,20.00%,20,2,10.00%,4,20.00%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
15,2025-08-25,Miss A Stokell,564,22,3.90%,166,29.43%,418,16,3.83%,127,30.38%,143,6,4.20%,39,27.27%,2,0,0%,0,0%,1,0,0%,0,0%
16,2025-08-25,Mrs S Lamyman,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
17,2025-08-25,P W Hiatt,1101,86,7.81%,306,27.79%,548,48,8.76%,144,26.28%,463,33,7.13%,147,31.75%,24,1,4.17%,4,16.67%,66,4,6.06%,11,16.67%
18,2025-08-25,A D Brown,1544,125,8.10%,410,26.55%,737,70,9.50%,213,28.90%,664,48,7.23%,164,24.70%,57,5,8.77%,17,29.82%,86,2,2.33%,16,18.60%
19,2025-08-25,M Johnston,16282,2430,14.92%,6046,37.13%,4974,784,15.76%,1942,39.04%,11275,1645,14.59%,4089,36.27%,15,1,6.67%,6,40.00%,18,0,0%,9,50.00%
